"batsmanname","total_runs"
"NavdeepSaini","4"
"LittonDas","4"
"KarnSharma","3"
"FazalhaqFarooqi","3"
"TabraizShamsi","2"
"HarshitRana","2"
"SwapnilSingh","2"
"JagadeeshaSuchith","2"
"PradeepSangwan","2"
"DeepakChahar","2"
"GeorgeGarton","2"
"WayneParnell","2"
"IshantSharma","1"
"YudhvirSingh","1"
"AbdulBasith","1"
"KhaleelAhmed","1"
"MohitRathee","1"
"MujeebUrRahman","1"
"YashDayal","0"
"SanjayYadav","0"
"DhawalKulkarni","0"
"TymalMills","0"
"DarshanNalkande","0"
"ShahbazNadeem","0"
"MohitSharma","0"
"TNatarajan","0"
"RileyMeredith","0"
"KuldeepSen","0"
"KMAsif","0"
"KuldipYadav","0"
"KamleshNagarkoti","0"
"TusharDeshpande","0"
